Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
boy,Boy,,newtest,,,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/images.jpg?v=1493724551,1,,FALSE,,,,,,,,,,,,,,,,,kg,
boy-1,Boy  10.00% Off Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",newtest,,Subscription,FALSE,Title,Default Title,,,,,,0,,1,deny,manual,10,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/images_a95cb0da-40f1-484e-a193-62cde06ce5db.jpg?v=1493812971,1,,FALSE,,,,,,,,,,,,,,,,,kg,
girl,Girl,,newtest,,,TRUE,Title,Default Title,,,,,,0,,1,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/images_1.jpg?v=1493724579,1,,FALSE,,,,,,,,,,,,,,,,,kg,
girl-1,Girl  10.00% Off Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",newtest,,Subscription,FALSE,Title,Default Title,,,,,,0,,1,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/images_1_061abcfe-2a14-41e3-bd24-816d7908efa6.jpg?v=1493812982,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod,test prod,,newtest,,,TRUE,Title,Default Title,,,,,,0,,-4,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5.jpg?v=1490853263,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod-4,test prod  Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",newtest,,Subscription,FALSE,Title,Default Title,,,,,,0,,1,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5_37692218-2b80-475f-9ee0-148f4b83b087.jpg?v=1493989589,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod-1,test prod 1,,newtest,,,TRUE,Title,Default Title,,,,,,0,,-6,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5_45776043-39f8-49f7-8296-ea9b9a60fcac.jpg?v=1493182675,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod-2,test prod 1,,newtest,,,TRUE,Title,Default Title,,,,,,0,,-1,deny,manual,1000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5_58cc560e-867a-4998-ac4b-90b1bae1d414.jpg?v=1493182680,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod-5,test prod 1  Auto renew,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",newtest,,Subscription,FALSE,Title,Default Title,,,,,,0,,1,deny,manual,20,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5_ea9a2ab9-4eb9-4a00-8729-b46d11b9aed1.jpg?v=1493989600,1,,FALSE,,,,,,,,,,,,,,,,,kg,
test-prod-3,test prod 2,,newtest,,,TRUE,Title,Default Title,,,,,,0,,-1,deny,manual,1000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/1131/3966/products/thumb5_ce3c3d51-482e-4093-a211-8f3cbfac06eb.jpg?v=1493182708,1,,FALSE,,,,,,,,,,,,,,,,,kg,
